latitud,longitud,profundidad,
-0.0020833333333314386,-89.99791666666667,-865.0,
-0.0020833333333314386,-89.58125,-1751.0,
-0.0020833333333314386,-89.16458333333334,-2003.0,
-0.0020833333333314386,-88.74791666666667,-2410.0,
-0.0020833333333314386,-88.33125,-2393.0,
-0.0020833333333314386,-87.91458333333334,-2468.0,
-0.0020833333333314386,-87.49791666666667,-2570.0,
-0.0020833333333314386,-87.08125,-2589.0,
-0.0020833333333314386,-86.66458333333334,-2719.0,
-0.0020833333333314386,-86.24791666666667,-2821.0,
-0.0020833333333314386,-85.83125,-2921.0,
-0.0020833333333314386,-85.41458333333334,-3460.0,
-0.0020833333333314386,-84.99791666666667,-3366.0,
-0.0020833333333314386,-84.58125,-3026.0,
-0.0020833333333314386,-84.16458333333334,-3170.0,
-0.0020833333333314386,-83.74791666666667,-2534.0,
-0.0020833333333314386,-83.33125,-2829.0,
-0.0020833333333314386,-82.91458333333334,-2499.0,
-0.0020833333333314386,-82.49791666666667,-2240.0,
-0.0020833333333314386,-82.08125,-1412.0,
-0.0020833333333314386,-81.66458333333333,-1176.0,
-0.0020833333333314386,-81.24791666666667,-1946.0,
-0.0020833333333314386,-80.83125,-1751.0,
-0.0020833333333314386,-80.43541666666667,-78.0,
-0.0020833333333314386,-80.37291666666667,-64.0,
-0.0020833333333314386,-80.31041666666667,-49.0,
-0.0020833333333314386,-80.24791666666667,-28.0,
-0.0020833333333314386,-80.18541666666667,-19.0,
-0.0020833333333314386,-50.99791666666667,-15.0,
-0.0020833333333314386,-50.93541666666667,-4.0,
-0.0020833333333314386,-50.74791666666667,-6.0,
-0.0020833333333314386,-50.56041666666667,-13.0,
-0.0020833333333314386,-50.37291666666667,-36.0,
-0.0020833333333314386,-50.31041666666667,-21.0,
-0.0020833333333314386,-50.24791666666667,-17.0,
-0.0020833333333314386,-50.18541666666667,-18.0,
-0.0020833333333314386,-50.12291666666667,-20.0,
-0.0020833333333314386,-50.06041666666667,-13.0,
-0.0020833333333314386,-49.87291666666667,-8.0,
-0.0020833333333314386,-49.81041666666667,-8.0,
-0.0020833333333314386,-49.74791666666667,-8.0,
-0.0020833333333314386,-49.31041666666667,-4.0,
-0.0020833333333314386,-49.24791666666667,-6.0,
-0.0020833333333314386,-49.18541666666667,-3.0,
-0.0020833333333314386,-49.12291666666667,-5.0,
