latitud,longitud,profundidad,
-0.0020833333333314386,-179.99791666666667,-5260.0,
-0.0020833333333314386,-179.58125,-4058.0,
-0.0020833333333314386,-179.16458333333333,-5445.0,
-0.0020833333333314386,-178.74791666666667,-5372.0,
-0.0020833333333314386,-178.33125,-5297.0,
-0.0020833333333314386,-177.91458333333333,-5103.0,
-0.0020833333333314386,-177.49791666666667,-5463.0,
-0.0020833333333314386,-177.08125,-5396.0,
-0.0020833333333314386,-176.66458333333333,-5352.0,
-0.0020833333333314386,-176.24791666666667,-5548.0,
-0.0020833333333314386,-175.83125,-5439.0,
-0.0020833333333314386,-175.41458333333333,-5399.0,
-0.0020833333333314386,-174.99791666666667,-5413.0,
-0.0020833333333314386,-174.58125,-5428.0,
-0.0020833333333314386,-174.16458333333333,-5399.0,
-0.0020833333333314386,-173.74791666666667,-5523.0,
-0.0020833333333314386,-173.33125,-5469.0,
-0.0020833333333314386,-172.91458333333333,-5530.0,
-0.0020833333333314386,-172.49791666666667,-5583.0,
-0.0020833333333314386,-172.08125,-5669.0,
-0.0020833333333314386,-171.66458333333333,-5672.0,
-0.0020833333333314386,-171.24791666666667,-5612.0,
-0.0020833333333314386,-170.83125,-5757.0,
-0.0020833333333314386,-170.41458333333333,-5469.0,
-0.0020833333333314386,-169.99791666666667,-5508.0,
-0.0020833333333314386,-169.58125,-5423.0,
-0.0020833333333314386,-169.16458333333333,-5502.0,
-0.0020833333333314386,-168.74791666666667,-5590.0,
-0.0020833333333314386,-168.33125,-5599.0,
-0.0020833333333314386,-167.91458333333333,-5093.0,
-0.0020833333333314386,-167.49791666666667,-5307.0,
-0.0020833333333314386,-167.08125,-4784.0,
-0.0020833333333314386,-166.66458333333333,-5099.0,
-0.0020833333333314386,-166.24791666666667,-5331.0,
-0.0020833333333314386,-165.83125,-5037.0,
-0.0020833333333314386,-165.41458333333333,-5218.0,
-0.0020833333333314386,-164.99791666666667,-5798.0,
-0.0020833333333314386,-164.58125,-5110.0,
-0.0020833333333314386,-164.16458333333333,-4972.0,
-0.0020833333333314386,-163.74791666666667,-4933.0,
-0.0020833333333314386,-163.33125,-5169.0,
-0.0020833333333314386,-162.91458333333333,-5181.0,
-0.0020833333333314386,-162.49791666666667,-5208.0,
-0.0020833333333314386,-162.08125,-5065.0,
-0.0020833333333314386,-161.66458333333333,-5049.0,
-0.0020833333333314386,-161.24791666666667,-5093.0,
-0.0020833333333314386,-160.83125,-5135.0,
-0.0020833333333314386,-160.41458333333333,-5167.0,
-0.0020833333333314386,-159.99791666666667,-5166.0,
-0.0020833333333314386,-159.58125,-5053.0,
-0.0020833333333314386,-159.16458333333333,-4934.0,
-0.0020833333333314386,-158.74791666666667,-4681.0,
-0.0020833333333314386,-158.33125,-4771.0,
-0.0020833333333314386,-157.91458333333333,-4242.0,
-0.0020833333333314386,-157.49791666666667,-4179.0,
-0.0020833333333314386,-157.08125,-4457.0,
-0.0020833333333314386,-156.66458333333333,-4604.0,
-0.0020833333333314386,-156.24791666666667,-3196.0,
-0.0020833333333314386,-155.83125,-4513.0,
-0.0020833333333314386,-155.41458333333333,-3316.0,
-0.0020833333333314386,-154.99791666666667,-4679.0,
-0.0020833333333314386,-154.58125,-4745.0,
-0.0020833333333314386,-154.16458333333333,-4784.0,
-0.0020833333333314386,-153.74791666666667,-4776.0,
-0.0020833333333314386,-153.33125,-4764.0,
-0.0020833333333314386,-152.91458333333333,-4763.0,
-0.0020833333333314386,-152.49791666666667,-4576.0,
-0.0020833333333314386,-152.08125,-4414.0,
-0.0020833333333314386,-151.66458333333333,-4234.0,
-0.0020833333333314386,-151.24791666666667,-4180.0,
-0.0020833333333314386,-150.83125,-4241.0,
-0.0020833333333314386,-150.41458333333333,-4390.0,
-0.0020833333333314386,-149.99791666666667,-4446.0,
-0.0020833333333314386,-149.58125,-4523.0,
-0.0020833333333314386,-149.16458333333333,-4543.0,
-0.0020833333333314386,-148.74791666666667,-4466.0,
-0.0020833333333314386,-148.33125,-4239.0,
-0.0020833333333314386,-147.91458333333333,-4373.0,
-0.0020833333333314386,-147.49791666666667,-4302.0,
-0.0020833333333314386,-147.08125,-4350.0,
-0.0020833333333314386,-146.66458333333333,-4362.0,
-0.0020833333333314386,-146.24791666666667,-4287.0,
-0.0020833333333314386,-145.83125,-4301.0,
-0.0020833333333314386,-145.41458333333333,-4364.0,
-0.0020833333333314386,-144.99791666666667,-4241.0,
-0.0020833333333314386,-144.58125,-4289.0,
-0.0020833333333314386,-144.16458333333333,-4453.0,
-0.0020833333333314386,-143.74791666666667,-4501.0,
-0.0020833333333314386,-143.33125,-4438.0,
-0.0020833333333314386,-142.91458333333333,-4463.0,
-0.0020833333333314386,-142.49791666666667,-4375.0,
-0.0020833333333314386,-142.08125,-4438.0,
-0.0020833333333314386,-141.66458333333333,-4427.0,
-0.0020833333333314386,-141.24791666666667,-4398.0,
-0.0020833333333314386,-140.83125,-4319.0,
-0.0020833333333314386,-140.41458333333333,-4260.0,
-0.0020833333333314386,-139.99791666666667,-4332.0,
-0.0020833333333314386,-139.58125,-4326.0,
-0.0020833333333314386,-139.16458333333333,-4354.0,
-0.0020833333333314386,-138.74791666666667,-4377.0,
-0.0020833333333314386,-138.33125,-4070.0,
-0.0020833333333314386,-137.91458333333333,-4316.0,
-0.0020833333333314386,-137.49791666666667,-4181.0,
-0.0020833333333314386,-137.08125,-4304.0,
-0.0020833333333314386,-136.66458333333333,-4121.0,
-0.0020833333333314386,-136.24791666666667,-4331.0,
-0.0020833333333314386,-135.83125,-4367.0,
-0.0020833333333314386,-135.41458333333333,-4413.0,
-0.0020833333333314386,-134.99791666666667,-4381.0,
-0.0020833333333314386,-134.58125,-2523.0,
-0.0020833333333314386,-134.16458333333333,-4303.0,
-0.0020833333333314386,-133.74791666666667,-4394.0,
-0.0020833333333314386,-133.33125,-4367.0,
-0.0020833333333314386,-132.91458333333333,-4109.0,
-0.0020833333333314386,-132.49791666666667,-4461.0,
-0.0020833333333314386,-132.08125,-4327.0,
-0.0020833333333314386,-131.66458333333333,-4349.0,
-0.0020833333333314386,-131.24791666666667,-4432.0,
-0.0020833333333314386,-130.83125,-4503.0,
-0.0020833333333314386,-130.41458333333333,-4488.0,
-0.0020833333333314386,-129.99791666666667,-4486.0,
-0.0020833333333314386,-129.58125,-4493.0,
-0.0020833333333314386,-129.16458333333333,-4551.0,
